EmployeeID,Age,Gender,Education,Department,JobRole,Salary,YearsAtCompany,WorkLifeBalance,TrainingHours,PerformanceRating,Attrition
65,26,Male,PhD,HR,HR Manager,92641,11,1,4,5,No
66,39,Male,MBA,Marketing,SEO Specialist,38843,24,2,0,1,No
67,36,Female,PhD,Operations,Logistics Coordinator,66430,24,3,7,4,Yes
68,48,Female,PhD,Marketing,Marketing Manager,146507,7,2,4,1,Yes
69,37,Male,PhD,IT,Data Analyst,63088,0,1,2,5,No
70,25,Female,Masters,IT,System Engineer,75990,24,2,1,3,Yes
71,53,Male,PhD,Customer Support,Support Manager,86813,0,2,0,3,No
72,42,Female,Bachelors,Customer Support,Support Executive,31970,16,1,8,3,Yes
73,26,Male,MBA,Marketing,SEO Specialist,37763,16,1,5,3,No
74,57,Male,Bachelors,Marketing,Marketing Executive,29809,9,3,8,1,No
75,21,Female,Masters,Marketing,Marketing Manager,62744,7,4,7,2,No
76,23,Female,Bachelors,Operations,Operations Manager,119074,17,4,4,3,No
77,43,Female,Masters,Customer Support,Support Executive,69238,4,1,2,4,No
78,38,Male,MBA,Sales,Sales Manager,31941,14,3,1,4,No
79,50,Male,Bachelors,HR,HR Executive,95390,9,3,3,2,No
80,40,Female,Bachelors,Sales,Sales Executive,127468,1,2,2,1,No
81,36,Female,PhD,Customer Support,Support Executive,49071,3,4,8,3,No
82,52,Male,Bachelors,IT,Developer,100697,18,3,1,4,No
83,26,Female,Masters,Operations,Operations Executive,129680,11,2,0,2,No
84,42,Male,MBA,HR,HR Manager,35478,23,2,0,2,No
85,35,Female,Masters,HR,HR Executive,25302,23,2,6,2,No
86,27,Male,Masters,Operations,Logistics Coordinator,30122,14,3,1,2,No
87,45,Male,Masters,IT,IT Manager,63518,4,4,8,1,No
88,45,Female,Bachelors,Sales,Sales Manager,129592,12,4,9,3,No
89,56,Female,MBA,Sales,Account Manager,143894,21,2,7,1,No
90,57,Female,PhD,Sales,Sales Executive,87981,19,2,7,3,No
91,53,Female,Masters,Marketing,Marketing Executive,141148,21,1,6,4,No
92,50,Male,Bachelors,Operations,Operations Manager,38918,23,3,2,3,Yes
93,26,Female,MBA,Marketing,SEO Specialist,147177,19,4,5,1,No
94,22,Male,Masters,Operations,Logistics Coordinator,25846,10,4,4,2,Yes
95,53,Male,MBA,IT,System Engineer,70587,16,4,9,5,No
96,33,Female,Masters,Customer Support,Support Manager,141714,2,1,7,2,No
97,33,Male,Bachelors,Sales,Sales Manager,30287,1,4,4,1,No
98,44,Male,Masters,IT,IT Manager,122829,22,3,0,5,No
99,34,Female,Bachelors,Finance,Finance Analyst,92444,23,3,2,3,No
100,28,Female,PhD,Operations,Operations Executive,66832,4,2,2,5,Yes
101,34,Female,Bachelors,IT,IT Manager,130881,3,1,8,2,No
102,34,Male,Masters,Customer Support,Support Manager,64711,18,1,6,1,Yes
103,22,Male,PhD,HR,HR Executive,43381,20,4,6,3,No
104,28,Male,MBA,IT,IT Manager,121809,19,3,0,4,No
105,49,Male,Bachelors,IT,System Engineer,35789,24,1,6,1,Yes
106,30,Female,Masters,Operations,Operations Manager,127916,9,1,3,5,Yes
107,28,Male,PhD,Customer Support,Support Executive,89772,14,4,1,3,No
108,56,Female,Bachelors,IT,System Engineer,124097,10,3,9,2,No
109,33,Male,Bachelors,Finance,Finance Analyst,98319,17,1,7,4,No
110,57,Male,PhD,Finance,Accountant,129263,9,1,9,1,No
111,42,Male,Masters,Marketing,Marketing Manager,72882,22,1,4,2,No
112,21,Female,MBA,Operations,Logistics Coordinator,125158,21,3,4,1,No
113,46,Male,PhD,Sales,Sales Executive,38224,2,3,9,3,No
114,47,Male,MBA,Customer Support,Support Manager,82761,16,4,2,1,No
115,44,Male,MBA,Operations,Operations Executive,71240,16,1,5,2,Yes
116,27,Female,Bachelors,Marketing,Marketing Executive,95480,19,1,5,4,No
117,21,Male,MBA,HR,HR Executive,26759,12,2,7,3,Yes
118,49,Female,MBA,Operations,Operations Executive,115397,15,4,0,3,No
119,48,Male,Masters,Sales,Sales Manager,63000,17,2,3,1,No
120,23,Female,MBA,Customer Support,Support Executive,103623,9,2,1,4,No
121,52,Male,Bachelors,Customer Support,Support Manager,110382,7,1,2,3,No
122,57,Male,PhD,Operations,Operations Executive,97258,18,1,7,2,No
123,36,Male,Masters,Operations,Operations Manager,144235,19,1,6,2,Yes
124,43,Male,Bachelors,Customer Support,Support Executive,85500,18,4,3,5,No
125,25,Female,MBA,Sales,Sales Executive,112955,10,2,2,4,No
126,50,Male,PhD,Marketing,Marketing Manager,136496,1,1,3,2,No
127,50,Female,PhD,HR,HR Manager,44063,13,3,0,2,Yes
128,22,Female,Bachelors,Operations,Operations Executive,131732,24,3,5,3,No
129,49,Male,Bachelors,Sales,Sales Manager,101908,1,3,5,2,No
130,58,Female,Bachelors,Sales,Sales Executive,51657,16,1,9,4,Yes
131,41,Male,Masters,Sales,Sales Manager,76226,24,3,7,2,No
132,27,Male,Masters,HR,Recruiter,118065,12,1,9,2,Yes
133,56,Male,PhD,IT,Developer,112410,20,3,3,1,No
134,54,Female,Masters,IT,Data Analyst,78302,14,4,4,1,No
135,39,Female,Bachelors,Customer Support,Support Manager,92298,19,3,1,1,No
136,29,Male,Bachelors,Marketing,Marketing Executive,60111,16,1,7,2,No
137,57,Female,Masters,IT,IT Manager,111123,11,3,1,4,No
138,37,Male,Bachelors,Finance,Finance Manager,74481,24,3,7,3,No
139,43,Female,Masters,Marketing,Marketing Executive,79756,21,4,8,2,No
140,46,Female,MBA,Customer Support,Support Executive,115600,12,2,9,1,Yes
141,27,Male,MBA,Marketing,Marketing Manager,69813,14,1,2,2,No
142,51,Female,MBA,Marketing,Marketing Manager,79237,19,3,9,1,No
143,54,Female,PhD,IT,System Engineer,107050,4,3,6,4,No
144,42,Female,Bachelors,HR,Recruiter,140608,12,2,9,4,No
145,54,Female,Bachelors,Customer Support,Support Executive,127650,22,1,2,3,No
146,49,Female,PhD,Finance,Accountant,98972,11,1,8,2,Yes
147,40,Male,Bachelors,Customer Support,Support Executive,37676,0,2,7,2,Yes
148,45,Male,Masters,Operations,Operations Executive,82775,0,1,8,1,No
149,57,Female,PhD,Finance,Finance Manager,149988,4,3,6,3,No
150,27,Female,PhD,Sales,Sales Executive,105435,3,3,5,5,No
151,54,Male,Masters,Operations,Operations Manager,140512,8,1,7,5,Yes
152,29,Male,Bachelors,Customer Support,Support Executive,101898,19,2,9,3,No
153,44,Female,Bachelors,Operations,Operations Executive,49578,2,2,8,1,No
154,31,Female,MBA,Marketing,Marketing Manager,108560,23,3,8,3,No
155,29,Male,Bachelors,Finance,Finance Analyst,71542,7,1,1,4,No
156,46,Female,PhD,IT,Developer,66873,5,1,4,5,No
157,49,Female,PhD,Marketing,Marketing Manager,109082,2,4,7,3,No
158,44,Male,PhD,HR,HR Manager,32314,15,4,8,5,No
159,56,Male,MBA,HR,Recruiter,111206,5,4,9,1,Yes
160,30,Male,Masters,Customer Support,Support Manager,27719,10,1,1,4,No
161,32,Female,Bachelors,Marketing,Marketing Executive,58062,1,4,0,1,No
162,44,Male,Masters,Customer Support,Support Manager,88852,2,4,6,2,No
163,48,Male,Bachelors,Sales,Account Manager,123875,14,2,5,4,Yes
164,24,Male,Masters,Finance,Finance Analyst,137831,16,4,9,1,Yes
165,34,Female,PhD,IT,Data Analyst,62567,14,1,2,4,No
166,31,Female,MBA,Customer Support,Support Executive,69064,5,3,2,3,No
167,54,Male,MBA,Sales,Sales Manager,126660,3,1,8,5,No
168,34,Male,MBA,Finance,Finance Analyst,77307,21,3,0,4,Yes
169,36,Male,MBA,Marketing,Marketing Executive,53602,19,2,4,3,No
170,35,Male,Bachelors,Sales,Sales Manager,101961,2,4,7,4,No
171,28,Male,Bachelors,Finance,Finance Manager,46563,13,1,4,3,No
172,23,Female,PhD,Finance,Finance Manager,86788,11,1,9,3,Yes
173,50,Male,PhD,Customer Support,Support Executive,36536,11,4,5,1,Yes
174,22,Male,PhD,Operations,Operations Manager,79615,7,3,0,5,Yes
175,51,Male,Bachelors,Sales,Sales Manager,131661,10,1,5,1,Yes
176,44,Female,Bachelors,Operations,Logistics Coordinator,100304,16,4,5,4,No
177,53,Male,Bachelors,Sales,Sales Manager,74153,0,1,0,5,Yes
178,22,Female,Masters,Operations,Logistics Coordinator,106061,6,2,1,2,Yes
179,31,Male,Masters,Finance,Accountant,82660,2,3,5,1,Yes
180,32,Female,PhD,HR,HR Manager,145071,7,2,3,3,No
181,36,Female,Masters,IT,System Engineer,91435,5,2,2,1,Yes
182,38,Male,PhD,Operations,Logistics Coordinator,105885,11,3,8,5,No
183,56,Male,MBA,IT,IT Manager,95316,7,1,6,3,Yes
184,39,Male,PhD,Operations,Operations Manager,25661,4,4,2,4,Yes
185,49,Female,MBA,IT,Developer,41309,14,1,0,5,No
186,24,Female,PhD,Marketing,Marketing Executive,50963,19,4,0,3,No
187,54,Female,MBA,Finance,Finance Analyst,47015,3,2,3,2,No
188,32,Male,PhD,Sales,Sales Manager,143402,12,2,0,3,No
189,43,Female,Masters,Finance,Finance Analyst,36561,11,2,6,5,No
190,34,Female,PhD,Marketing,Marketing Executive,95135,6,1,6,1,No
191,55,Female,Bachelors,HR,HR Manager,149132,4,3,7,4,No
192,31,Female,Masters,Customer Support,Support Executive,77233,2,2,9,5,No
193,21,Female,MBA,Operations,Operations Executive,31276,19,4,0,1,Yes
194,57,Male,Bachelors,Finance,Accountant,76886,4,4,0,4,No
195,26,Female,Masters,Customer Support,Support Executive,25619,19,2,8,5,No
196,55,Male,MBA,Marketing,Marketing Executive,111213,4,1,0,1,No
197,40,Male,MBA,Finance,Finance Analyst,142428,17,4,1,1,No
198,51,Male,Masters,HR,HR Executive,81503,14,3,5,4,No
199,36,Female,MBA,Operations,Operations Executive,26969,9,4,1,5,Yes
200,25,Male,Masters,Marketing,Marketing Manager,149398,21,3,6,2,No
201,38,Male,PhD,Operations,Operations Manager,106040,7,3,7,1,No
202,39,Female,Bachelors,HR,Recruiter,104134,15,2,4,1,Yes
203,26,Male,Bachelors,Finance,Finance Analyst,140262,8,1,8,5,No
204,24,Female,PhD,HR,HR Executive,139044,5,2,2,2,No
205,39,Female,PhD,HR,HR Executive,42772,10,1,5,1,No
206,27,Male,PhD,HR,HR Manager,125494,20,3,8,1,No
207,58,Female,PhD,HR,HR Executive,88449,10,3,9,2,No
208,46,Female,Masters,IT,Developer,31471,15,2,4,5,Yes
209,54,Female,PhD,Finance,Accountant,78551,4,3,6,2,No
210,41,Male,PhD,IT,Developer,58174,10,3,4,4,No
211,35,Male,Masters,Finance,Finance Manager,70379,20,1,1,5,No
212,47,Female,MBA,Marketing,Marketing Manager,67652,14,4,9,4,No
213,33,Male,MBA,Sales,Sales Executive,48171,24,2,9,5,Yes
214,56,Female,MBA,Customer Support,Support Manager,144891,3,2,0,4,Yes
215,33,Female,Bachelors,Sales,Account Manager,105758,21,2,8,2,Yes
216,28,Male,Masters,Sales,Sales Manager,96831,15,1,4,4,No
217,59,Female,MBA,IT,System Engineer,61041,24,2,9,1,No
218,55,Male,MBA,Marketing,SEO Specialist,142867,1,1,0,5,No
219,52,Male,Masters,Finance,Finance Manager,116658,9,1,8,1,No
220,41,Male,Bachelors,IT,IT Manager,119018,9,2,8,1,Yes
221,39,Male,PhD,Finance,Finance Analyst,63467,5,2,3,5,No
222,28,Female,MBA,IT,Developer,79624,5,1,0,4,Yes
223,52,Female,PhD,Marketing,SEO Specialist,39484,7,2,2,4,Yes
224,26,Female,Masters,IT,Data Analyst,30249,22,4,0,3,No
225,56,Male,MBA,Operations,Operations Manager,138092,12,1,8,2,Yes
226,36,Female,PhD,HR,HR Executive,93619,16,4,3,3,No
227,48,Female,Bachelors,Marketing,SEO Specialist,80922,7,2,7,4,No
228,40,Male,PhD,Operations,Operations Executive,110957,21,2,0,5,No
229,34,Male,Masters,Operations,Operations Manager,41163,0,3,1,1,Yes
230,29,Female,PhD,IT,Developer,109416,10,3,6,2,No
231,55,Female,Masters,Customer Support,Support Manager,115517,10,3,4,4,No
232,58,Female,Masters,Customer Support,Support Executive,50169,12,3,9,3,No
233,29,Male,Masters,Finance,Finance Analyst,103222,20,3,1,3,No
234,30,Female,Bachelors,Finance,Finance Analyst,30656,1,1,0,4,No
235,36,Male,PhD,HR,HR Manager,62685,13,1,2,1,No
236,54,Male,PhD,Marketing,Marketing Executive,139055,20,2,3,5,No
237,51,Female,Bachelors,Finance,Accountant,58613,19,2,5,5,Yes
238,39,Female,MBA,Sales,Account Manager,96966,18,1,9,1,Yes
239,51,Male,MBA,IT,Data Analyst,144863,14,1,8,3,Yes
240,27,Female,Bachelors,Finance,Finance Analyst,122359,15,4,3,1,No
241,56,Male,Masters,Finance,Accountant,37411,5,3,4,4,No
242,27,Male,MBA,Marketing,SEO Specialist,121410,21,2,5,5,Yes
243,47,Male,MBA,Sales,Sales Manager,31548,21,2,9,2,Yes
244,33,Male,Bachelors,Marketing,Marketing Executive,47740,17,1,1,5,No
245,55,Female,Bachelors,Finance,Accountant,78744,10,3,6,5,No
246,38,Female,Bachelors,Finance,Finance Analyst,46223,2,1,5,2,No
247,37,Female,Bachelors,Marketing,Marketing Executive,28191,8,1,0,2,No
248,48,Male,PhD,Finance,Accountant,132210,22,2,5,1,No
249,44,Female,PhD,Finance,Finance Manager,81492,18,1,0,5,Yes
250,21,Female,MBA,HR,HR Executive,32788,18,4,0,5,No
251,56,Male,MBA,Sales,Account Manager,34866,19,3,2,4,No
252,25,Female,PhD,Sales,Sales Executive,129797,21,4,9,4,No
253,22,Female,Bachelors,HR,Recruiter,121718,17,3,3,1,No
254,30,Female,MBA,Sales,Account Manager,59964,3,4,1,5,No
255,52,Male,Masters,Customer Support,Support Manager,85703,1,3,0,2,Yes
256,34,Female,Masters,HR,HR Executive,80419,24,2,3,5,No
257,41,Female,Bachelors,IT,Data Analyst,102794,22,3,8,2,No
258,28,Male,MBA,Operations,Operations Executive,123605,7,2,5,3,No
259,33,Male,Bachelors,Finance,Accountant,110457,1,1,3,3,No
260,43,Male,Masters,Customer Support,Support Executive,45567,11,1,4,5,No
261,39,Male,MBA,IT,IT Manager,106942,6,4,4,2,No
262,23,Female,MBA,HR,Recruiter,107368,3,4,9,2,No
263,59,Male,PhD,Sales,Sales Executive,104578,1,1,8,4,No
264,32,Female,Bachelors,Sales,Sales Manager,51832,13,2,4,1,No
265,26,Female,Masters,IT,IT Manager,37087,18,1,3,4,No
266,46,Female,Masters,Operations,Logistics Coordinator,92364,5,1,6,5,Yes
267,40,Male,PhD,Operations,Operations Executive,84664,22,3,2,5,No
268,24,Female,Masters,Customer Support,Support Manager,61727,23,2,2,4,No
269,39,Female,PhD,HR,HR Executive,103229,23,1,9,5,No
270,56,Male,MBA,IT,System Engineer,30469,22,1,1,4,Yes
271,31,Male,Bachelors,Finance,Finance Manager,41184,21,1,5,4,No
272,35,Male,PhD,Customer Support,Support Executive,125037,14,2,6,1,No
273,30,Male,MBA,Marketing,Marketing Executive,59865,2,1,5,5,No
274,39,Male,Masters,IT,Developer,108369,2,2,4,5,No
275,41,Female,Masters,Finance,Accountant,138737,4,4,3,2,No
276,51,Male,PhD,HR,HR Manager,92155,23,1,7,4,Yes
277,55,Female,Masters,Operations,Logistics Coordinator,59742,13,4,5,2,No
278,56,Female,Masters,Operations,Operations Executive,84063,10,4,8,5,No
279,27,Female,PhD,HR,HR Executive,121894,14,2,3,5,Yes
280,57,Male,Bachelors,Finance,Finance Analyst,43745,20,2,6,2,Yes
281,45,Male,Bachelors,HR,HR Executive,87292,11,1,0,2,No
282,27,Female,Bachelors,Customer Support,Support Manager,58365,22,1,1,4,No
283,42,Female,Masters,HR,HR Executive,70232,16,2,5,2,No
284,22,Female,Masters,Marketing,Marketing Executive,39357,15,1,1,3,No
285,58,Male,PhD,Operations,Logistics Coordinator,55651,9,3,0,5,No
286,42,Male,Bachelors,Customer Support,Support Manager,30774,23,4,5,4,No
287,48,Male,Masters,IT,Developer,64961,16,3,7,3,No
288,55,Male,MBA,HR,HR Manager,46253,6,4,1,3,No
289,32,Female,PhD,IT,IT Manager,86001,7,4,8,4,No
290,35,Female,Masters,Customer Support,Support Executive,112983,13,4,3,4,No
291,23,Female,PhD,IT,Developer,25282,17,3,0,4,Yes
292,57,Male,Masters,Marketing,SEO Specialist,92843,5,2,8,4,No
293,21,Male,Bachelors,Customer Support,Support Manager,50150,12,3,1,4,No
294,47,Female,Bachelors,Sales,Account Manager,33004,24,3,8,4,No
295,25,Female,Masters,Operations,Operations Manager,57994,8,4,5,3,No
296,22,Male,Bachelors,HR,HR Executive,77142,11,4,7,2,No
297,46,Female,PhD,Finance,Finance Analyst,94615,20,4,0,5,No
298,38,Female,MBA,Sales,Sales Executive,95969,10,1,5,1,No
299,35,Male,PhD,IT,Data Analyst,57602,2,1,1,2,No
300,59,Male,PhD,Finance,Finance Manager,101229,8,4,7,3,No
301,58,Male,Bachelors,HR,HR Executive,137782,20,3,4,4,No
302,59,Male,Bachelors,Finance,Accountant,123696,2,4,1,3,No
303,43,Female,Masters,IT,IT Manager,83810,1,4,3,5,No
304,50,Male,PhD,IT,IT Manager,96678,13,3,8,2,No
305,39,Male,Masters,Operations,Operations Executive,147477,18,3,8,4,Yes
306,29,Male,PhD,Customer Support,Support Manager,36002,22,1,3,5,No
307,29,Male,PhD,HR,HR Manager,84711,0,4,4,3,Yes
308,24,Female,PhD,Operations,Operations Manager,57762,3,4,8,5,No
309,36,Female,Masters,HR,HR Executive,60292,16,4,2,3,No
310,41,Male,Bachelors,Sales,Sales Executive,75500,15,4,0,5,Yes
311,24,Female,PhD,Marketing,Marketing Executive,116170,16,2,0,5,No
312,32,Male,Bachelors,Finance,Finance Analyst,96853,14,3,9,4,No
313,58,Female,MBA,Marketing,SEO Specialist,121019,24,1,6,4,Yes
314,23,Female,PhD,Operations,Operations Executive,36093,11,2,6,1,No
315,26,Male,Bachelors,Customer Support,Support Manager,27261,24,2,5,2,No
316,21,Female,MBA,IT,System Engineer,136032,12,1,2,5,No
317,58,Female,Masters,HR,Recruiter,68056,13,1,3,4,No
318,29,Male,Bachelors,Customer Support,Support Executive,30463,4,1,7,5,Yes
319,59,Male,MBA,Customer Support,Support Executive,95028,10,2,0,4,No
320,32,Female,Bachelors,Marketing,Marketing Executive,97124,15,1,6,4,No
321,43,Male,MBA,HR,HR Executive,77893,12,3,3,2,No
322,53,Male,MBA,Finance,Finance Analyst,49995,17,1,7,4,No
323,35,Male,MBA,Finance,Finance Analyst,39376,6,2,8,2,Yes
324,30,Male,Masters,IT,Developer,99637,17,3,8,4,No
325,22,Female,PhD,Operations,Logistics Coordinator,124932,5,3,7,2,Yes
326,21,Male,Masters,Operations,Logistics Coordinator,73438,12,3,4,1,No
327,44,Female,Bachelors,HR,HR Executive,63392,5,4,1,4,No
328,58,Male,PhD,Customer Support,Support Executive,86049,11,2,2,4,No
329,43,Female,PhD,HR,HR Executive,107279,10,4,8,4,No
330,48,Female,Bachelors,Customer Support,Support Manager,101708,6,4,0,1,No
331,30,Male,MBA,IT,Developer,65379,17,4,0,1,No
332,32,Male,PhD,Marketing,Marketing Manager,139149,0,3,1,5,Yes
333,31,Female,MBA,IT,IT Manager,95188,3,2,5,3,No
334,26,Female,Masters,Sales,Account Manager,104674,14,1,4,2,Yes
335,55,Female,Masters,Sales,Sales Executive,52734,5,4,8,1,Yes
336,37,Male,PhD,IT,IT Manager,84500,15,2,4,1,No
337,42,Female,MBA,Sales,Sales Executive,111836,22,3,1,5,No
338,41,Male,PhD,HR,Recruiter,99027,10,3,0,4,No
339,33,Male,PhD,Marketing,SEO Specialist,83478,1,3,0,3,No
340,44,Male,MBA,Operations,Operations Executive,130209,18,1,7,4,No
341,39,Female,MBA,Marketing,Marketing Manager,100774,20,2,5,5,No
342,25,Female,Bachelors,Customer Support,Support Manager,116088,23,4,9,4,No
343,46,Female,PhD,IT,IT Manager,85011,11,4,6,2,No
344,44,Female,MBA,IT,Developer,27454,14,3,8,3,No
345,34,Male,MBA,IT,Developer,94338,17,4,3,5,No
346,28,Male,Bachelors,Customer Support,Support Executive,107035,12,1,0,3,No
347,25,Male,Bachelors,IT,IT Manager,136628,14,2,6,2,No
348,23,Female,PhD,Marketing,Marketing Manager,143325,9,2,4,4,No
349,50,Female,MBA,IT,System Engineer,111072,14,3,7,2,No
350,27,Male,Bachelors,Customer Support,Support Manager,37866,0,4,0,5,Yes
351,21,Female,MBA,Marketing,Marketing Executive,45131,2,2,6,1,No
352,51,Male,PhD,Operations,Operations Manager,26381,10,3,1,5,No
353,36,Female,MBA,IT,Data Analyst,95721,7,1,9,4,No
354,22,Male,MBA,Finance,Finance Analyst,141185,12,4,1,3,No
355,47,Male,MBA,Operations,Operations Manager,127005,6,1,0,1,Yes
356,39,Female,Bachelors,Marketing,Marketing Executive,136668,18,1,0,2,No
357,34,Female,Bachelors,Operations,Operations Manager,56921,13,4,5,4,No
358,38,Female,Masters,Customer Support,Support Manager,99763,22,3,1,2,No
359,35,Female,Bachelors,HR,Recruiter,137056,16,2,1,1,Yes
360,26,Male,PhD,Sales,Sales Executive,146156,11,1,8,1,Yes
361,54,Male,Masters,HR,HR Executive,127827,3,4,2,5,No
362,57,Male,Bachelors,Operations,Logistics Coordinator,133944,22,2,8,2,Yes
363,33,Male,PhD,Marketing,Marketing Executive,54796,0,4,0,4,No
364,41,Male,PhD,Operations,Operations Executive,41211,18,3,9,1,No
365,55,Female,PhD,Customer Support,Support Manager,143062,15,2,2,4,Yes
366,33,Male,PhD,Customer Support,Support Executive,27257,4,1,1,1,No
367,42,Male,MBA,IT,Data Analyst,76168,3,1,1,1,Yes
368,38,Male,PhD,Customer Support,Support Manager,48554,5,4,7,1,No
369,55,Female,Masters,Finance,Finance Manager,141236,24,1,9,5,No
370,33,Female,Masters,Marketing,Marketing Manager,45132,5,4,0,4,No
371,23,Female,PhD,IT,Developer,125462,5,1,3,5,No
372,46,Female,MBA,Finance,Finance Analyst,117389,0,4,0,4,No
373,50,Male,Masters,IT,Data Analyst,142480,1,1,4,1,No
374,32,Female,Bachelors,Sales,Account Manager,71607,15,3,6,4,No
375,28,Female,PhD,HR,HR Executive,135816,22,1,5,3,No
376,49,Male,Bachelors,IT,Developer,117769,1,4,6,4,Yes
377,25,Male,MBA,Sales,Sales Executive,51423,19,2,5,1,Yes
378,46,Male,Bachelors,Sales,Account Manager,138688,9,3,4,4,No
379,21,Female,Masters,Finance,Finance Manager,58840,14,4,5,4,No
380,46,Female,PhD,Customer Support,Support Executive,133272,17,1,8,3,Yes
381,58,Male,PhD,HR,HR Manager,141634,1,3,9,5,No
382,42,Female,Masters,Operations,Operations Manager,113509,17,2,2,5,No
383,53,Female,Bachelors,Marketing,SEO Specialist,49272,15,3,5,1,No
384,46,Male,MBA,IT,System Engineer,101221,24,4,8,2,No
385,38,Male,PhD,Customer Support,Support Manager,55873,5,4,1,1,No
386,54,Female,Masters,Marketing,Marketing Manager,95902,7,1,3,1,No
387,40,Female,Bachelors,HR,HR Executive,118783,17,2,8,5,Yes
